"","LD1","LD2"
"JEDWA16",-4.41384676363183,4.60655484362429
"JEDWA17",-4.61420020023367,4.81415330931842
"JEDWA18",-5.26559741123632,4.70574495709007
"JEDWA20",-4.87918374867554,4.98033586817059
"JEDWA21",-5.09906627329434,4.84370720464907
"JFR01",29.1285523800295,0.60469351647486
"JFR02",29.4359316464135,0.53769476148257
"JFR03",28.8143586822464,0.425121179737477
"JFR04",29.5284637523913,0.544999793537854
"JFR05",28.4356478682095,0.528687822939267
"JFR06",28.9746184869431,0.501312108999969
"JFR07",28.933392293921,0.474068964156436
"JFR08",29.2875151590788,0.520763986900537
"JFR09",29.0524119784539,0.502649736340148
"JFR10",29.1283988847396,0.535219762147438
"JFR11",21.0471610470564,0.382793525805813
"JFR12",18.7486406904805,0.105270208051642
"JFR13",28.799986601567,0.543392162663878
"JFR14",28.9501907444134,0.518585825394034
"JFR15",28.4420521142196,0.506827165383824
"JFR16",29.3961085705738,0.600332446983617
"JFR17",29.247087259604,0.556568789579256
"JFR18",29.2816554074704,0.565085239030034
"JFR19",29.0050264193459,0.58007465111368
"JFR20",29.4299012652422,0.558558857782049
"JFR21",29.2851990124367,0.51434864360629
"JFR22",29.1456955408862,0.499247746878251
"JFR23",29.5596314945187,0.516114870845316
"JFR24",29.0653290007212,0.651752743611786
"JFR25",29.4895843500288,0.680771132804107
"JFR26",29.4826326693042,0.43058775914246
"JFR27",29.3366033008801,0.464977795698127
"JFR28",29.575719504394,0.606700671369529
"JFR29",28.961488315785,0.448054999491168
"JFR30",29.3136630700474,0.639378549588089
"JFR31",29.5042511673792,0.544167318016505
"JFR32",29.2491195482307,0.545280443829403
"JFR33",29.4642993800796,0.586517604246201
"JFR34",29.3376793078911,0.660440931893075
"JFR35",29.5036888892866,0.480686300119935
"JFR36",29.2109264631457,0.489923629133402
"JFR37",29.9557329218028,0.501719055864931
"JFR38",29.3988320532102,0.510582984393007
"JFR39",29.4032805102672,0.575189866719282
"JFR40",29.0761657016064,0.509900063974881
"JFR41",29.0382294199047,0.540818750248002
"JFR42",29.3637387039311,0.474988671311917
"JFR43",29.1414676434463,0.448953395845964
"JFR45",29.4653385952105,0.467151431372867
